Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Ashburn,Late Night (12am-Close),2023,0.00K,0K,0,40
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Loudoun Gateway,Late Night (12am-Close),2023,0.00K,0K,2,10
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Dulles Airport,Late Night (12am-Close),2023,0.00K,0K,4,9
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Innovation Center,Late Night (12am-Close),2023,0.00K,0K,1,11
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Herndon,Late Night (12am-Close),2023,0.00K,0K,0,16
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Reston Town Center,Late Night (12am-Close),2023,0.00K,0K,2,9
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Vienna,Late Night (12am-Close),2023,0.00K,0K,3,92
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Wiehle-Reston East,Late Night (12am-Close),2023,0.01K,0K,8,43
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Spring Hill,Late Night (12am-Close),2023,0.00K,0K,1,7
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Dunn Loring,Late Night (12am-Close),2023,0.01K,0K,5,29
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Greensboro,Late Night (12am-Close),2023,0.00K,0K,1,6
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Tysons,Late Night (12am-Close),2023,0.01K,0K,13,11
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,West Falls Church,Late Night (12am-Close),2023,0.00K,0K,0,11
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,McLean,Late Night (12am-Close),2023,0.01K,0K,10,13
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Shady Grove,Late Night (12am-Close),2023,0.02K,0K,15,111
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,East Falls Church,Late Night (12am-Close),2023,0.00K,0K,3,44
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Rockville,Late Night (12am-Close),2023,0.01K,0K,7,33
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Ballston-MU,Late Night (12am-Close),2023,0.02K,0K,22,100
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Twinbrook,Late Night (12am-Close),2023,0.01K,0K,6,55
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Virginia Sq-GMU,Late Night (12am-Close),2023,0.01K,0K,7,48
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,North Bethesda,Late Night (12am-Close),2023,0.01K,0K,10,36
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Clarendon,Late Night (12am-Close),2023,0.10K,0K,103,36
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Grosvenor-Strathmore,Late Night (12am-Close),2023,0.00K,0K,1,43
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Court House,Late Night (12am-Close),2023,0.03K,0K,25,62
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Franconia-Springfield,Late Night (12am-Close),2023,0.00K,0K,1,65
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Medical Center,Late Night (12am-Close),2023,0.01K,0K,5,25
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Rosslyn,Late Night (12am-Close),2023,0.03K,0K,26,71
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Bethesda,Late Night (12am-Close),2023,0.02K,0K,24,75
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Van Dorn Street,Late Night (12am-Close),2023,0.00K,0K,2,21
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Friendship Heights,Late Night (12am-Close),2023,0.02K,0K,17,31
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Tenleytown-AU,Late Night (12am-Close),2023,0.02K,0K,18,77
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Van Ness-UDC,Late Night (12am-Close),2023,0.01K,0K,7,52
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Foggy Bottom-GWU,Late Night (12am-Close),2023,0.07K,0K,67,98
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Cleveland Park,Late Night (12am-Close),2023,0.00K,0K,4,52
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Pentagon City,Late Night (12am-Close),2023,0.02K,0K,17,86
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Woodley Park,Late Night (12am-Close),2023,0.06K,0K,63,32
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Pentagon,Late Night (12am-Close),2023,0.00K,0K,2,18
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Farragut West,Late Night (12am-Close),2023,0.06K,0K,55,37
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Dupont Circle,Late Night (12am-Close),2023,0.18K,0K,178,64
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Crystal City,Late Night (12am-Close),2023,0.02K,0K,20,71
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Farragut North,Late Night (12am-Close),2023,0.11K,0K,114,45
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,McPherson Sq,Late Night (12am-Close),2023,0.06K,0K,57,34
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,King St-Old Town,Late Night (12am-Close),2023,0.02K,0K,24,42
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Ronald Reagan Washington National Airport,Late Night (12am-Close),2023,0.06K,0K,59,17
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Potomac Yard,Late Night (12am-Close),2023,0.00K,0K,2,37
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Braddock Road,Late Night (12am-Close),2023,0.01K,0K,9,35
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Eisenhower Ave,Late Night (12am-Close),2023,0.00K,0K,3,15
9/8/2023 12:00:00 AM,Friday,No,September,Weekday,Huntington,Late Night (12am-Close),2023,0.01K,0K,8,54
