Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Friendship Heights,PM Peak (3pm-7pm),2023,0.22K,0K,224,244
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Tenleytown-AU,PM Peak (3pm-7pm),2023,0.50K,0K,496,230
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Arlington Cemetery,PM Peak (3pm-7pm),2023,0.08K,0K,83,47
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Van Ness-UDC,PM Peak (3pm-7pm),2023,0.19K,0K,192,195
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Foggy Bottom-GWU,PM Peak (3pm-7pm),2023,1.23K,1K,1227,593
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Cleveland Park,PM Peak (3pm-7pm),2023,0.11K,0K,111,129
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Pentagon City,PM Peak (3pm-7pm),2023,0.45K,0K,450,485
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Woodley Park,PM Peak (3pm-7pm),2023,0.17K,0K,169,199
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Pentagon,PM Peak (3pm-7pm),2023,0.77K,0K,767,405
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Farragut West,PM Peak (3pm-7pm),2023,0.75K,0K,754,216
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Dupont Circle,PM Peak (3pm-7pm),2023,0.58K,0K,575,342
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Crystal City,PM Peak (3pm-7pm),2023,0.35K,0K,352,307
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,Farragut North,PM Peak (3pm-7pm),2023,0.88K,0K,878,274
9/11/2023 12:00:00 AM,Monday,No,September,Weekday,McPherson Sq,PM Peak (3pm-7pm),2023,0.46K,0K,456,206
