Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Ashburn,PM Peak (3pm-7pm),2023,0.06K,0K,57,70
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Loudoun Gateway,PM Peak (3pm-7pm),2023,0.01K,0K,12,11
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Dulles Airport,PM Peak (3pm-7pm),2023,0.22K,0K,215,152
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Innovation Center,PM Peak (3pm-7pm),2023,0.05K,0K,49,29
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Herndon,PM Peak (3pm-7pm),2023,0.05K,0K,48,57
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Reston Town Center,PM Peak (3pm-7pm),2023,0.04K,0K,35,35
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Vienna,PM Peak (3pm-7pm),2023,0.21K,0K,214,207
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Wiehle-Reston East,PM Peak (3pm-7pm),2023,0.07K,0K,70,104
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Spring Hill,PM Peak (3pm-7pm),2023,0.03K,0K,34,35
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Dunn Loring,PM Peak (3pm-7pm),2023,0.07K,0K,69,61
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Greensboro,PM Peak (3pm-7pm),2023,0.05K,0K,48,41
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Tysons,PM Peak (3pm-7pm),2023,0.22K,0K,221,248
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,West Falls Church,PM Peak (3pm-7pm),2023,0.06K,0K,60,60
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,McLean,PM Peak (3pm-7pm),2023,0.05K,0K,49,47
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Shady Grove,PM Peak (3pm-7pm),2023,0.19K,0K,185,183
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,East Falls Church,PM Peak (3pm-7pm),2023,0.18K,0K,177,134
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Rockville,PM Peak (3pm-7pm),2023,0.12K,0K,122,84
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Ballston-MU,PM Peak (3pm-7pm),2023,0.26K,0K,264,269
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Twinbrook,PM Peak (3pm-7pm),2023,0.10K,0K,104,94
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Virginia Sq-GMU,PM Peak (3pm-7pm),2023,0.10K,0K,103,94
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,North Bethesda,PM Peak (3pm-7pm),2023,0.11K,0K,106,96
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Clarendon,PM Peak (3pm-7pm),2023,0.18K,0K,179,190
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Grosvenor-Strathmore,PM Peak (3pm-7pm),2023,0.08K,0K,79,69
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Court House,PM Peak (3pm-7pm),2023,0.21K,0K,212,184
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Franconia-Springfield,PM Peak (3pm-7pm),2023,0.17K,0K,167,131
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Medical Center,PM Peak (3pm-7pm),2023,0.04K,0K,44,42
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Rosslyn,PM Peak (3pm-7pm),2023,0.41K,0K,412,332
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Bethesda,PM Peak (3pm-7pm),2023,0.20K,0K,201,203
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Van Dorn Street,PM Peak (3pm-7pm),2023,0.04K,0K,43,66
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Friendship Heights,PM Peak (3pm-7pm),2023,0.14K,0K,144,156
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Tenleytown-AU,PM Peak (3pm-7pm),2023,0.22K,0K,217,201
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Arlington Cemetery,PM Peak (3pm-7pm),2023,0.08K,0K,76,58
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Van Ness-UDC,PM Peak (3pm-7pm),2023,0.15K,0K,150,145
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Foggy Bottom-GWU,PM Peak (3pm-7pm),2023,0.64K,1K,638,531
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Cleveland Park,PM Peak (3pm-7pm),2023,0.15K,0K,150,149
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Pentagon City,PM Peak (3pm-7pm),2023,0.60K,1K,600,529
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Woodley Park,PM Peak (3pm-7pm),2023,0.36K,0K,361,218
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Pentagon,PM Peak (3pm-7pm),2023,0.09K,0K,85,89
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Farragut West,PM Peak (3pm-7pm),2023,0.25K,0K,245,223
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Dupont Circle,PM Peak (3pm-7pm),2023,0.56K,0K,562,417
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Crystal City,PM Peak (3pm-7pm),2023,0.22K,0K,218,189
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Farragut North,PM Peak (3pm-7pm),2023,0.27K,0K,267,192
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,McPherson Sq,PM Peak (3pm-7pm),2023,0.21K,0K,211,207
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,King St-Old Town,PM Peak (3pm-7pm),2023,0.20K,0K,196,211
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),2023,0.17K,0K,167,198
9/9/2023 12:00:00 AM,Saturday,No,September,Saturday,Potomac Yard,PM Peak (3pm-7pm),2023,0.09K,0K,92,64
