Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,East Falls Church,AM Peak (Open-9:30am),2023,0.00K,0K,3,6
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Grosvenor-Strathmore,AM Peak (Open-9:30am),2023,0.00K,0K,1,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Friendship Heights,AM Peak (Open-9:30am),2023,0.00K,0K,2,3
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Silver Spring,AM Peak (Open-9:30am),2023,0.00K,0K,0,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Forest Glen,AM Peak (Open-9:30am),2023,0.00K,0K,1,3
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,U Street,AM Peak (Open-9:30am),2023,0.00K,0K,0,4
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Fort Totten,AM Peak (Open-9:30am),2023,0.00K,0K,0,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Hyattsville Crossing,AM Peak (Open-9:30am),2023,0.00K,0K,4,3
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Potomac Ave,AM Peak (Open-9:30am),2023,0.00K,0K,1,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Dulles Airport,AM Peak (Open-9:30am),2023,0.00K,0K,2,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Wiehle-Reston East,AM Peak (Open-9:30am),2023,0.00K,0K,3,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,North Bethesda,AM Peak (Open-9:30am),2023,0.00K,0K,1,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Medical Center,AM Peak (Open-9:30am),2023,0.00K,0K,1,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Van Dorn Street,AM Peak (Open-9:30am),2023,0.00K,0K,1,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Arlington Cemetery,AM Peak (Open-9:30am),2023,0.00K,0K,1,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Foggy Bottom-GWU,AM Peak (Open-9:30am),2023,0.00K,0K,1,8
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Farragut North,AM Peak (Open-9:30am),2023,0.00K,0K,1,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Metro Center,AM Peak (Open-9:30am),2023,0.00K,0K,0,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Silver Spring,AM Peak (Open-9:30am),2023,0.00K,0K,1,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Wheaton,AM Peak (Open-9:30am),2023,0.00K,0K,2,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Forest Glen,AM Peak (Open-9:30am),2023,0.00K,0K,0,4
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Takoma,AM Peak (Open-9:30am),2023,0.00K,0K,1,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,U Street,AM Peak (Open-9:30am),2023,0.00K,0K,3,3
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,L'Enfant Plaza,AM Peak (Open-9:30am),2023,0.00K,0K,4,3
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Gallery Place,AM Peak (Open-9:30am),2023,0.00K,0K,1,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Fort Totten,AM Peak (Open-9:30am),2023,0.00K,0K,2,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,West Hyattsville,AM Peak (Open-9:30am),2023,0.00K,0K,1,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Hyattsville Crossing,AM Peak (Open-9:30am),2023,0.00K,0K,1,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Eastern Market,AM Peak (Open-9:30am),2023,0.00K,0K,1,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,New Carrollton,AM Peak (Open-9:30am),2023,0.00K,0K,1,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Ashburn,AM Peak (Open-9:30am),2023,0.00K,0K,4,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Loudoun Gateway,AM Peak (Open-9:30am),2023,0.00K,0K,2,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Dulles Airport,AM Peak (Open-9:30am),2023,0.04K,0K,43,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Innovation Center,AM Peak (Open-9:30am),2023,0.00K,0K,4,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Herndon,AM Peak (Open-9:30am),2023,0.00K,0K,2,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Reston Town Center,AM Peak (Open-9:30am),2023,0.00K,0K,3,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Vienna,AM Peak (Open-9:30am),2023,0.02K,0K,16,3
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Wiehle-Reston East,AM Peak (Open-9:30am),2023,0.01K,0K,9,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Spring Hill,AM Peak (Open-9:30am),2023,0.01K,0K,5,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Dunn Loring,AM Peak (Open-9:30am),2023,0.01K,0K,10,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Greensboro,AM Peak (Open-9:30am),2023,0.01K,0K,6,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Tysons,AM Peak (Open-9:30am),2023,0.00K,0K,4,4
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,West Falls Church,AM Peak (Open-9:30am),2023,0.01K,0K,6,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,McLean,AM Peak (Open-9:30am),2023,0.00K,0K,3,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Shady Grove,AM Peak (Open-9:30am),2023,0.06K,0K,64,3
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,East Falls Church,AM Peak (Open-9:30am),2023,0.01K,0K,5,0
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Rockville,AM Peak (Open-9:30am),2023,0.01K,0K,13,1
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Ballston-MU,AM Peak (Open-9:30am),2023,0.00K,0K,4,2
9/10/2023 12:00:00 AM,Sunday,No,September,Sunday,Twinbrook,AM Peak (Open-9:30am),2023,0.01K,0K,10,0
