Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Ashburn,PM Peak (3pm-7pm),2023,0.04K,0K,35,63
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Loudoun Gateway,PM Peak (3pm-7pm),2023,0.01K,0K,9,19
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Dulles Airport,PM Peak (3pm-7pm),2023,0.08K,0K,81,279
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Innovation Center,PM Peak (3pm-7pm),2023,0.05K,0K,52,38
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Herndon,PM Peak (3pm-7pm),2023,0.04K,0K,38,42
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Reston Town Center,PM Peak (3pm-7pm),2023,0.08K,0K,84,50
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Vienna,PM Peak (3pm-7pm),2023,0.12K,0K,116,251
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Wiehle-Reston East,PM Peak (3pm-7pm),2023,0.10K,0K,101,115
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Spring Hill,PM Peak (3pm-7pm),2023,0.05K,0K,48,39
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Dunn Loring,PM Peak (3pm-7pm),2023,0.06K,0K,64,80
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Greensboro,PM Peak (3pm-7pm),2023,0.09K,0K,89,41
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Tysons,PM Peak (3pm-7pm),2023,0.15K,0K,145,120
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,West Falls Church,PM Peak (3pm-7pm),2023,0.06K,0K,64,94
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,McLean,PM Peak (3pm-7pm),2023,0.16K,0K,157,61
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Shady Grove,PM Peak (3pm-7pm),2023,0.16K,0K,164,398
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,East Falls Church,PM Peak (3pm-7pm),2023,0.09K,0K,92,198
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Rockville,PM Peak (3pm-7pm),2023,0.10K,0K,98,142
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Ballston-MU,PM Peak (3pm-7pm),2023,0.32K,0K,322,302
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Twinbrook,PM Peak (3pm-7pm),2023,0.12K,0K,124,138
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Virginia Sq-GMU,PM Peak (3pm-7pm),2023,0.08K,0K,84,116
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,North Bethesda,PM Peak (3pm-7pm),2023,0.11K,0K,114,112
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Clarendon,PM Peak (3pm-7pm),2023,0.10K,0K,95,143
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Grosvenor-Strathmore,PM Peak (3pm-7pm),2023,0.09K,0K,92,155
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Court House,PM Peak (3pm-7pm),2023,0.15K,0K,152,188
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Franconia-Springfield,PM Peak (3pm-7pm),2023,0.09K,0K,86,169
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Medical Center,PM Peak (3pm-7pm),2023,0.43K,0K,430,85
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Rosslyn,PM Peak (3pm-7pm),2023,0.55K,0K,554,300
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Bethesda,PM Peak (3pm-7pm),2023,0.28K,0K,279,306
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Van Dorn Street,PM Peak (3pm-7pm),2023,0.05K,0K,50,110
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Friendship Heights,PM Peak (3pm-7pm),2023,0.24K,0K,243,241
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Tenleytown-AU,PM Peak (3pm-7pm),2023,0.51K,0K,505,251
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Arlington Cemetery,PM Peak (3pm-7pm),2023,0.07K,0K,70,36
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Van Ness-UDC,PM Peak (3pm-7pm),2023,0.24K,0K,239,203
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Foggy Bottom-GWU,PM Peak (3pm-7pm),2023,1.33K,1K,1332,588
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Cleveland Park,PM Peak (3pm-7pm),2023,0.09K,0K,91,132
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Pentagon City,PM Peak (3pm-7pm),2023,0.42K,0K,424,485
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Woodley Park,PM Peak (3pm-7pm),2023,0.21K,0K,205,210
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Pentagon,PM Peak (3pm-7pm),2023,0.97K,0K,965,436
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Farragut West,PM Peak (3pm-7pm),2023,0.88K,0K,884,234
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Dupont Circle,PM Peak (3pm-7pm),2023,0.62K,0K,616,446
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Crystal City,PM Peak (3pm-7pm),2023,0.40K,0K,400,279
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Farragut North,PM Peak (3pm-7pm),2023,0.98K,0K,977,309
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,McPherson Sq,PM Peak (3pm-7pm),2023,0.57K,0K,565,237
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,King St-Old Town,PM Peak (3pm-7pm),2023,0.22K,0K,220,233
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),2023,0.23K,0K,232,296
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Potomac Yard,PM Peak (3pm-7pm),2023,0.07K,0K,68,84
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Braddock Road,PM Peak (3pm-7pm),2023,0.10K,0K,102,132
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Eisenhower Ave,PM Peak (3pm-7pm),2023,0.07K,0K,69,58
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Huntington,PM Peak (3pm-7pm),2023,0.11K,0K,114,256
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Smithsonian,PM Peak (3pm-7pm),2023,0.45K,0K,449,132
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Federal Triangle,PM Peak (3pm-7pm),2023,0.56K,0K,564,67
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Metro Center,PM Peak (3pm-7pm),2023,1.11K,0K,1106,364
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Columbia Heights,PM Peak (3pm-7pm),2023,0.81K,1K,806,534
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Glenmont,PM Peak (3pm-7pm),2023,0.12K,0K,117,272
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Silver Spring,PM Peak (3pm-7pm),2023,0.35K,0K,350,456
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Wheaton,PM Peak (3pm-7pm),2023,0.10K,0K,97,140
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Forest Glen,PM Peak (3pm-7pm),2023,0.04K,0K,40,82
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Takoma,PM Peak (3pm-7pm),2023,0.29K,0K,289,233
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,U Street,PM Peak (3pm-7pm),2023,0.26K,0K,264,280
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Georgia Ave-Petworth,PM Peak (3pm-7pm),2023,0.29K,0K,294,254
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Shaw-Howard U,PM Peak (3pm-7pm),2023,0.44K,0K,444,201
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,L'Enfant Plaza,PM Peak (3pm-7pm),2023,1.18K,0K,1178,422
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Archives,PM Peak (3pm-7pm),2023,0.56K,0K,561,153
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Gallery Place,PM Peak (3pm-7pm),2023,0.95K,0K,947,478
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Mt Vernon Sq,PM Peak (3pm-7pm),2023,0.26K,0K,264,226
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Fort Totten,PM Peak (3pm-7pm),2023,0.57K,1K,570,724
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Waterfront,PM Peak (3pm-7pm),2023,0.25K,0K,249,174
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Federal Center SW,PM Peak (3pm-7pm),2023,0.25K,0K,249,44
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Judiciary Square,PM Peak (3pm-7pm),2023,0.44K,0K,437,123
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Navy Yard-Ballpark,PM Peak (3pm-7pm),2023,0.57K,0K,565,304
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,West Hyattsville,PM Peak (3pm-7pm),2023,0.12K,0K,119,213
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Capitol South,PM Peak (3pm-7pm),2023,0.41K,0K,413,142
9/7/2023 12:00:00 AM,Thursday,No,September,Weekday,Hyattsville Crossing,PM Peak (3pm-7pm),2023,0.14K,0K,136,215
