Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Ashburn,PM Peak (3pm-7pm),2023,0.04K,0K,42,85
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Loudoun Gateway,PM Peak (3pm-7pm),2023,0.01K,0K,10,27
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Dulles Airport,PM Peak (3pm-7pm),2023,0.19K,0K,192,176
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Innovation Center,PM Peak (3pm-7pm),2023,0.05K,0K,46,45
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Herndon,PM Peak (3pm-7pm),2023,0.03K,0K,33,54
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Reston Town Center,PM Peak (3pm-7pm),2023,0.08K,0K,76,44
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Vienna,PM Peak (3pm-7pm),2023,0.13K,0K,125,221
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Wiehle-Reston East,PM Peak (3pm-7pm),2023,0.08K,0K,79,96
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Spring Hill,PM Peak (3pm-7pm),2023,0.04K,0K,39,37
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Dunn Loring,PM Peak (3pm-7pm),2023,0.07K,0K,66,114
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Greensboro,PM Peak (3pm-7pm),2023,0.09K,0K,85,34
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Tysons,PM Peak (3pm-7pm),2023,0.16K,0K,157,119
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,West Falls Church,PM Peak (3pm-7pm),2023,0.05K,0K,45,87
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,McLean,PM Peak (3pm-7pm),2023,0.18K,0K,176,40
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Shady Grove,PM Peak (3pm-7pm),2023,0.19K,0K,194,463
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,East Falls Church,PM Peak (3pm-7pm),2023,0.10K,0K,96,204
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Rockville,PM Peak (3pm-7pm),2023,0.11K,0K,110,145
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Ballston-MU,PM Peak (3pm-7pm),2023,0.33K,0K,334,320
